Sample,Treatment,Replicate,Day,Glucose,Xylose,Pyruvate,Xylitol,Succinate,Lactate,Glycerol,Formate,Acetate,Ethanol,Cellobiose
5%_g_5X,pH 6 + 5% glucose,X,5,3.860632426,0.292700955,0.02128058,0,0,0.028689579,0.095412607,0.144732589,1.64232244,0,0.694499061
10%_g_5A,pH 6 + 10% glucose,A,5,0,0.046947152,0.005728303,0,0.029546118,0,0,0,0.289094775,0.575588445,0
10%_g_5B,pH 6 + 10% glucose,B,5,0,0.010097744,0.004029626,0,0.01657157,0,0.138087113,0,0.192730834,0,0
10%_g_5C,pH 6 + 10% glucose,C,5,0,0.618125745,0.003514475,0.164690438,0.035012504,0.13805931,0.074358071,0,0.156686244,0.005769346,0
10%_g_5D,pH 6 + 10% glucose,D,5,0,0,0.003305772,0,0.015709513,0,0.114575615,0,0.131368176,0,0
10%_g_5E,pH 6 + 10% glucose,E,5,0,0,0,0,7.32E-05,0,0.002940434,0,0,0,0
10%_g_5F,pH 6 + 10% glucose,F,5,0.009499837,0,0.001128049,0,0.015932703,0,0,0,0.06349887,0.062403197,0
10%_g_5X,pH 6 + 10% glucose,X,5,7.941034829,0.13783135,0,0,0,0.029719194,0.094860067,0.141738338,1.672680503,0,0.718966415
pH8_5A,pH 8,A,5,0.011434755,0,0,0,0,0,0,0,0.058763541,0,0
pH8_5B,pH 8,B,5,0.010778973,0,0,0,0,0.004016667,0,0,0.010236458,0,0
pH8_5C,pH 8,C,5,0.012821987,0,0,0,0,0,0,0,0,0.065250784,0
pH8_5D,pH 8,D,5,0.012874234,0,0,0,0,0.006648805,0,0,0,0.029778266,0
pH8_5E,pH 8,E,5,0.012922877,0,0,0,0,0,0.00115573,0,0,0,0
pH8_5F,pH 8,F,5,0,0,0,0,0.000468817,0,0,0,0.006634774,0,0
pH8_5X,pH 8,X,5,0.038274992,0.806099014,0,0,0,0.032835962,0.0884681,0.141199327,1.673357738,0,0.731350702
pH10_5A,pH 10,A,5,0.012643629,0,0,0,0,0,0,0,0.033233506,0,0
pH10_5B,pH 10,B,5,0,0,0,0,0,0,0.000703568,0,0,0,0
